epoch,step,train_loss,val_loss,val_mae_p50
0,19,0.4606601297855377,,
0,39,0.46660640835762024,,
0,59,0.38444310426712036,,
0,79,0.45533543825149536,,
0,99,0.44044408202171326,,
0,119,0.4197559356689453,,
0,139,0.3818282186985016,,
0,159,0.40193140506744385,,
0,179,0.409371942281723,,
0,199,0.44913509488105774,,
0,219,0.29150864481925964,,
0,239,0.5154818296432495,,
0,259,0.3636621832847595,,
0,279,0.3650491535663605,,
0,299,0.4643990397453308,,
0,319,0.39980748295783997,,
0,339,0.32864242792129517,,
0,359,0.4120778739452362,,
0,379,0.5867242813110352,,
0,399,0.4796863794326782,,
0,419,0.4062378406524658,,
0,439,0.32980602979660034,,
0,459,0.5498449206352234,,
0,479,0.4994199872016907,,
0,499,0.4053952395915985,,
0,519,0.43331536650657654,,
0,539,0.47404173016548157,,
0,559,0.38782376050949097,,
0,579,0.3571387231349945,,
0,599,0.4358639717102051,,
0,619,0.4339245557785034,,
0,639,0.3474338948726654,,
0,659,0.4371441602706909,,
0,679,0.3349088132381439,,
0,699,0.3588879406452179,,
0,719,0.43221795558929443,,
0,739,0.38720962405204773,,
0,759,0.44695982336997986,,
0,779,0.45158636569976807,,
0,799,0.47779810428619385,,
0,819,0.45809847116470337,,
0,839,0.5007972717285156,,
0,859,0.37072473764419556,,
0,879,0.3730408549308777,,
0,899,0.4894057810306549,,
0,919,0.3254588544368744,,
0,939,0.4965105652809143,,
0,959,0.4053662121295929,,
0,979,0.40495672821998596,,
0,999,0.4786551892757416,,
0,1019,0.41196537017822266,,
0,1039,0.3470974564552307,,
0,1059,0.44562622904777527,,
0,1079,0.3817843496799469,,
0,1099,0.48375949263572693,,
0,1119,0.35270553827285767,,
0,1139,0.418806254863739,,
0,1143,,0.41406798362731934,1.059912085533142
1,1159,0.502875566482544,,
1,1179,0.39992305636405945,,
1,1199,0.4629601240158081,,
1,1219,0.34880053997039795,,
1,1239,0.5501833558082581,,
1,1259,0.5380624532699585,,
1,1279,0.4316641092300415,,
1,1299,0.2685205340385437,,
1,1319,0.5528014898300171,,
1,1339,0.49859511852264404,,
1,1359,0.4310937821865082,,
1,1379,0.43510937690734863,,
1,1399,0.3578426241874695,,
1,1419,0.47373446822166443,,
1,1439,0.45624229311943054,,
1,1459,0.3937870264053345,,
1,1479,0.31377309560775757,,
1,1499,0.4893023371696472,,
1,1519,0.4239293038845062,,
1,1539,0.3918030261993408,,
1,1559,0.4358198940753937,,
1,1579,0.4130468964576721,,
1,1599,0.5041565299034119,,
1,1619,0.4100765883922577,,
1,1639,0.2872742712497711,,
1,1659,0.35293495655059814,,
1,1679,0.36712369322776794,,
1,1699,0.5224387645721436,,
1,1719,0.4060554504394531,,
1,1739,0.4785381257534027,,
1,1759,0.4296371042728424,,
1,1779,0.3503558337688446,,
1,1799,0.302359938621521,,
1,1819,0.4221763610839844,,
1,1839,0.3658575713634491,,
1,1859,0.40339869260787964,,
1,1879,0.4405401349067688,,
1,1899,0.5228577852249146,,
1,1919,0.39057114720344543,,
1,1939,0.5361313223838806,,
1,1959,0.3381618857383728,,
