epoch,step,train_loss,val_loss,val_mae_p50
0,11,,0.16055142879486084,0.39171063899993896
1,19,0.1471966654062271,,
1,23,,0.1396440863609314,0.37250322103500366
2,35,,0.13102880120277405,0.3618291914463043
3,39,0.1294928789138794,,
3,47,,0.12625564634799957,0.35398069024086
4,59,0.11761829257011414,,
4,59,,0.12396350502967834,0.3541909158229828
5,71,,0.12076821178197861,0.35189953446388245
6,79,0.11509065330028534,,
6,83,,0.12227573245763779,0.37434759736061096
7,95,,0.1153213307261467,0.34837645292282104
8,99,0.11511297523975372,,
8,107,,0.11425446718931198,0.3507571518421173
9,119,0.09218941628932953,,
9,119,,0.11461806297302246,0.3489343523979187
10,131,,0.11066342145204544,0.34453707933425903
11,139,0.10684621334075928,,
11,143,,0.10834378004074097,0.3431303799152374
12,155,,0.10613090544939041,0.3404805660247803
13,159,0.1018606647849083,,
13,167,,0.10032839328050613,0.33226317167282104
14,179,0.1066962257027626,,
14,179,,0.10768385976552963,0.3558390438556671
15,191,,0.10009336471557617,0.3289031684398651
16,199,0.0953279659152031,,
16,203,,0.09660772979259491,0.31633567810058594
17,215,,0.0951199159026146,0.30983617901802063
18,219,0.09406089037656784,,
18,227,,0.09433554857969284,0.3080339729785919
19,239,0.0841367170214653,,
19,239,,0.0956282690167427,0.31162410974502563
20,251,,0.09302906692028046,0.30513012409210205
21,259,0.08396851271390915,,
21,263,,0.09207116812467575,0.29361915588378906
22,275,,0.09224691241979599,0.294565886259079
23,279,0.08492657542228699,,
23,287,,0.08967471867799759,0.29185885190963745
24,299,0.09065434336662292,,
24,299,,0.09123671799898148,0.3016732931137085
25,311,,0.09517098218202591,0.3107408881187439
26,319,0.0830593928694725,,
26,323,,0.09334052354097366,0.29869309067726135
27,335,,0.09082376956939697,0.29718542098999023
28,339,0.09115336090326309,,
28,347,,0.08701027184724808,0.2852424085140228
29,359,0.08048917353153229,,
29,359,,0.08686865121126175,0.28114524483680725
30,371,,0.08644195646047592,0.2827458679676056
31,379,0.07722639292478561,,
31,383,,0.08715397119522095,0.28149306774139404
32,395,,0.08551813662052155,0.2793969213962555
33,399,0.0608547180891037,,
33,407,,0.08524591475725174,0.28025758266448975
34,419,0.08658303320407867,,
34,419,,0.08405047655105591,0.27687978744506836
35,431,,0.08415056765079498,0.27800580859184265
36,439,0.06971536576747894,,
36,443,,0.08311513066291809,0.2762879431247711
37,455,,0.08131203055381775,0.27401620149612427
38,459,0.07902409136295319,,
38,467,,0.08162924647331238,0.2742038071155548
39,479,0.06502950936555862,,
39,479,,0.08116081357002258,0.2739841043949127
40,491,,0.08232604712247849,0.27561479806900024
41,499,0.07583435624837875,,
41,503,,0.08038190752267838,0.2725934684276581
42,515,,0.07970783114433289,0.2710941433906555
43,519,0.07109946757555008,,
43,527,,0.07982416450977325,0.27140405774116516
44,539,0.10033596307039261,,
44,539,,0.07996788620948792,0.27374696731567383
45,551,,0.07968546450138092,0.27129942178726196
46,559,0.0760616809129715,,
46,563,,0.07880698889493942,0.26930347084999084
47,575,,0.07926901429891586,0.2709398865699768
48,579,0.07105562835931778,,
48,587,,0.07868913561105728,0.26790910959243774
49,599,0.07345277816057205,,
49,599,,0.07847113162279129,0.26531654596328735
50,611,,0.07830393314361572,0.2660335302352905
51,619,0.07479234039783478,,
51,623,,0.07781435549259186,0.26535481214523315
52,635,,0.07693806290626526,0.2619614601135254
53,639,0.06747264415025711,,
53,647,,0.07725852727890015,0.2637534737586975
54,659,0.07976114749908447,,
54,659,,0.07747561484575272,0.2618240416049957
55,671,,0.07704631984233856,0.2624208629131317
56,679,0.06874528527259827,,
56,683,,0.07709311693906784,0.2622871398925781
57,695,,0.07609433680772781,0.25870010256767273
58,699,0.059863101691007614,,
58,707,,0.07610158622264862,0.2578999698162079
59,719,0.072972871363163,,
59,719,,0.07581648975610733,0.2584943175315857
60,731,,0.07534201443195343,0.2563318610191345
61,739,0.07671867311000824,,
61,743,,0.07557269930839539,0.2572772204875946
62,755,,0.07502758502960205,0.25650256872177124
63,759,0.07259899377822876,,
63,767,,0.07523104548454285,0.2556156516075134
64,779,0.06059287115931511,,
64,779,,0.07501623034477234,0.2554560601711273
65,791,,0.07471633702516556,0.25495782494544983
66,799,0.06619059294462204,,
66,803,,0.07454252243041992,0.25482305884361267
67,815,,0.07472787797451019,0.25552067160606384
68,819,0.06997402012348175,,
68,827,,0.07434973120689392,0.2533069849014282
69,839,0.07376687973737717,,
69,839,,0.07449205964803696,0.25406137108802795
70,851,,0.07438437640666962,0.2544079124927521
71,859,0.07103713601827621,,
71,863,,0.07405716925859451,0.25342175364494324
72,875,,0.07409137487411499,0.2534714341163635
73,879,0.07681383192539215,,
73,887,,0.07381206005811691,0.2519834339618683
74,899,0.0633314996957779,,
74,899,,0.07397395372390747,0.2526203989982605
75,911,,0.07375175505876541,0.2517843544483185
76,919,0.07334646582603455,,
76,923,,0.07370439916849136,0.2517040967941284
77,935,,0.07373827695846558,0.2514404058456421
78,939,0.06393029540777206,,
78,947,,0.07338245958089828,0.2516472637653351
79,959,0.07187779247760773,,
79,959,,0.07345369458198547,0.25030267238616943
80,971,,0.07318198680877686,0.2500286102294922
81,979,0.062478840351104736,,
